Authors,Title,Keywords,Abstract,Publisher,Publication Date,Volume,Issue,DOI,pages
"Paik, S; Bonna, S; Novozhilova, E; Gao, G; Kim, J; Wijaya, D; Betke, M",The Affective Nature of AI-Generated News Images: Impact on Visual Journalism,Generative AI; Emotion analysis; Ethics of affective computing; Affective image generation; AI safety; Journalism ethics,"This study explores the affective responses and newsworthiness perceptions of generative AI for visual journalism. While generative AI offers advantages for newsrooms in terms of producing unique images and cutting costs, the potential misuse of AI-generated news images is a cause for concern. For our study, we designed a 3-part news image codebook for affect-labeling news images based on journalism ethics and photography guidelines. We collected 200 news headlines and images retrieved from a variety of U.S. news sources on the topics of gun violence and climate change, generated corresponding news images from DALL-E 2 and asked annotators their emotional responses to the human-selected and AI-generated news images following the codebook. We also examined the impact of modality on emotions by measuring the effects of visual and textual modalities on emotional responses. The findings of this study provide insights into the quality and emotional impact of generative news images produced by humans and AI. Further, results of this work can be useful in developing technical guidelines as well as policy measures for the ethical use of generative AI systems in journalistic production. The codebook, images and annotations are made publicly available to facilitate future research in affective computing, specifically tailored to civic and public-interest journalism.",IEEE,,,,10.1109/ACIIW59127.2023.10388166,8
"Miloski, B",Opportunities for artificial intelligence in healthcare and in vitro fertilization,Artificial intelligence; machine learning; large language models; AI; NLP; generative AI,"Artificial intelligence (AI) is understandably garnering an increased share of voice in the general and specialized media. The recent release of several generative AI products has added touchablecontext to fears of the potential negative effects of AI-rampant job loss, out-of-controlAI, and deep fake videos, to name a few. A productive conversation about AI requires the conversation to recognize AI as a very broad and diverse field with narrowand generalapplications. Narrow AI applications are quite common and widely deployed today. A fearless conversation can be had regarding how narrow AI can be more widely adopted while allowing for increased transparency and comfort. General AI is more complex and generally leads to what level of government regulation may be necessary (if practically possible). This essay focuses on the application of narrow AI in healthcare and fertility. Pros, cons, challenges, and recommendations are presented for a general audience seeking to understand the application of narrow AI. Successful and unsuccessful examples are provided with frameworks for approaching the narrow AI opportunity. (Fertil Sterile 2023;120:3-7. & COPY;2023 by American Society for Reproductive Medicine.)",ELSEVIER SCIENCE INC,JUL,120,1,10.1016/j.fertnstert.2023.05.006,5
"Affsprung, D",The ELIZA Defect Constructing the Right Users for Generative AI,science and technology studies; generative AI; public understanding of science; expertise; chatbots,,ASSOC COMPUTING MACHINERY,,,,10.1145/3600211.3604744,2
"Abani, S; Volk, HA; De Decker, S; Fenn, J; Rusbridge, C; Charalambous, M; Goncalves, R; Gutierrez-Quintana, R; Loderstedt, S; Flegel, T; Ros, C; von Klopmann, T; Schenk, HC; Kornberg, M; Meyerhoff, N; Tipold, A; Nessler, JN",ChatGPT and scientific papers in veterinary neurology; is the genie out of the bottle?,ChatGPT; artificial intelligence (AI); machine learning; generative AI; scientific writing; ethics; integrity; plagiarism,,FRONTIERS MEDIA SA,OCT 5,10,,10.3389/fvets.2023.1272755,7
"Morales, S; Planas, E; Clariso, R; Gogolla, M",Generative AI in Model-Driven Software Engineering Education: Friend or Foe?,Generative AI; education; software engineering; model-driven software engineering; modeling,"The availability and effectiveness of generative AI tools challenge the currently established methods for learning, teaching and assessment. In this paper, we discuss their potential impact for model-driven software engineering education, both from the point of view of educators and students. The discussion highlights several opportunities and risks, which support the need of a critical perspective in the application of these tools.",IEEE COMPUTER SOC,,,,10.1109/MODELS-C59198.2023.00034,4
"Xie, WJ; Warshel, A",Harnessing generative AI to decode enzyme catalysis and evolution for enhanced engineering,generative AI; mutation effects; evolution-catalysis relationship; enzyme engineering; enzyme evolution,"Enzymes, as paramount protein catalysts, occupy a central role in fostering remarkable progress across numerous fields. However, the intricacy of sequence-function relationships continues to obscure our grasp of enzyme behaviors and curtails our capabilities in rational enzyme engineering. Generative artificial intelligence (AI), known for its proficiency in handling intricate data distributions, holds the potential to offer novel perspectives in enzyme research. Generative models could discern elusive patterns within the vast sequence space and uncover new functional enzyme sequences. This review highlights the recent advancements in employing generative AI for enzyme sequence analysis. We delve into the impact of generative AI in predicting mutation effects on enzyme fitness, catalytic activity and stability, rationalizing the laboratory evolution of de novo enzymes, and decoding protein sequence semantics and their application in enzyme engineering. Notably, the prediction of catalytic activity and stability of enzymes using natural protein sequences serves as a vital link, indicating how enzyme catalysis shapes enzyme evolution. Overall, we foresee that the integration of generative AI into enzyme studies will remarkably enhance our knowledge of enzymes and expedite the creation of superior biocatalysts. This Review underscores the latest advances in applying generative AI to the analysis of enzyme sequences, which has deepened our insight into enzyme evolution and catalysis, thereby advancing enzyme engineering.",OXFORD UNIV PRESS,NOV 6,10,12,10.1093/nsr/nwad331,13
"Giunti, G; Doherty, CP",Cocreating an Automated mHealth Apps Systematic Review Process With Generative AI: Design Science Research Approach,generative artificial intelligence; mHealth; ChatGPT; evidence-base; apps; qualitative study; design science research; eHealth; mobile device; AI; language model; mHealth intervention; generative AI; AI tool; software code; systematic review,"Background: The use of mobile devices for delivering health -related services (mobile health [mHealth]) has rapidly increased, leading to a demand for summarizing the state of the art and practice through systematic reviews. However, the systematic review process is a resource -intensive and time-consuming process. Generative artificial intelligence (AI) has emerged as a potential solution to automate tedious tasks. Objective: This study aimed to explore the feasibility of using generative AI tools to automate time-consuming and resource -intensive tasks in a systematic review process and assess the scope and limitations of using such tools. Methods: We used the design science research methodology. The solution proposed is to use cocreation with a generative AI, such as ChatGPT, to produce software code that automates the process of conducting systematic reviews. Results: A triggering prompt was generated, and assistance from the generative AI was used to guide the steps toward developing, executing, and debugging a Python script. Errors in code were solved through conversational exchange with ChatGPT, and a tentative script was created. The code pulled the mHealth solutions from the Google Play Store and searched their descriptions for keywords that hinted toward evidence base. The results were exported to a CSV file, which was compared to the initial outputs of other similar systematic review processes. Conclusions: This study demonstrates the potential of using generative AI to automate the time-consuming process of conducting systematic reviews of mHealth apps. This approach could be particularly useful for researchers with limited coding skills. However, the study has limitations related to the design science research methodology, subjectivity bias, and the quality of the search results used to train the language model.","JMIR PUBLICATIONS, INC",,10,,10.2196/48949,10
"Takefuji, Y",Impact of COVID-19 on mental health in the US with generative AI,Generative AI; CDC dataset; Code generation; COVID-19 impact; Mental health,This paper investigates the impact of COVID-19 on mental health in the US using a large CDC dataset and a new method with generative AI for automatically generating Python code. The generated code was used to investigate and visualize the time-series impact of COVID-19 on mental health by eight categories over time. The paper aims to activate research on mental health during COVID-19 and demonstrates the use of generative AI in psychiatry research for novice or non-programmer researchers.,ELSEVIER,OCT,88,,10.1016/j.ajp.2023.103736,4
"He, Y",Definition of the psychological verb (ai) 'love' in Chinese: an approach sub-lexical,ai 'love'; semantic extension; mutual coordination; sublexical features; generative mechanisms,"This paper analyzes the Chinese polysemic expressions that contain the verb (ai) 'love', such as (ai erzi) 'love the son', (ai yanjing) 'take care of eyes', (ai tudou) 'like to eat potatoes', (ai yuangong) 'appreciate the employees', (ai haoche) 'wish to have luxurious car' or (ai guo shou fa) 'respect the country and the laws'. Within the theoretical framework of Generative Lexicon (Pustejovsky, 1995), this research defends that the Chinese psychological verb (ai) 'love' has a minimal meaning ('feel an intense and pleasant emotion'), which can be extended through the mutual coordination within the verb and the information codified in the internal structure of the word it combines. The processes of lexical concordance that legitimize the different meanings of the verb are what are known as generative mechanisms, in terms of the TLG, whose operation we are going to analyze.","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES",,,78,10.5209/CLAC.64374,28
"Bryan-Kinns, N; Zhang, BY; Zhao, SY; Banar, B","Exploring Variational Auto-encoder Architectures, Configurations, and Datasets for Generative Music Explainable AI",Variational auto-encoder; explainable AI (XAI); generative music; musical features; datasets,"Generative AI models for music and the arts in general are increasingly complex and hard to understand. The field of explainable AI (XAI) seeks to make complex and opaque AI models such as neural networks more understandable to people. One approach to making generative AI models more understandable is to impose a small number of semantically meaningful attributes on generative AI models. This paper contributes a systematic examination of the impact that different combinations of variational auto-encoder models (measureVAE and adversarialVAE), configurations of latent space in the AI model (from 4 to 256 latent dimensions), and training datasets (Irish folk, Turkish folk, classical, and pop) have on music generation performance when 2 or 4 meaningful musical attributes are imposed on the generative model. To date, there have been no systematic comparisons of such models at this level of combinatorial detail. Our findings show that measureVAE has better reconstruction performance than adversarialVAE which has better musical attribute independence. Results demonstrate that measureVAE was able to generate music across music genres with interpretable musical dimensions of control, and performs best with low complexity music such as pop and rock. We recommend that a 32 or 64 latent dimensional space is optimal for 4 regularised dimensions when using measureVAE to generate music across genres. Our results are the first detailed comparisons of configurations of state-of-the-art generative AI models for music and can be used to help select and configure AI models, musical features, and datasets for more understandable generation of music.",SPRINGERNATURE,FEB,21,1,10.1007/s11633-023-1457-1,17
"Wang, PQ",Personalizing guest experience with generative AI in the hotel industry: there's more to it than meets a Kiwi's eye,Generative AI; ChatGPT; hotel industry; New Zealand; Kiwi hospitality,"Since its launch in November 2022, ChatGPT has pioneered a new era in AI, globally acclaimed for its content creation and language understanding. This advancement is reshaping industries like hospitality, offering innovative applications but also raising ethical and efficiency challenges.In the context of New Zealand's hotel industry, renowned for its vibrant and inclusive 'Kiwi' hospitality culture, the idea of incorporating generative AI offers a novel perspective. While its application could potentially enhance service efficiency and help to alleviate staff shortages, integration with the country's deeply rooted cultural values demands a carefully considered approach.This study adopted a qualitative methodology using semi-structured interviews with hotel managers and AI experts in New Zealand. The findings revealed that generative AI holds promises for cost savings, work efficiency and meeting specific social group demands. Concerns have been raised, however, relating to the ability of AI to handle complex interactions, incorporate a sense of Kiwi culture, respond appropriately to service contingency events, maintain data privacy and meet the generational service preferences of guests. The absence of clear AI legislation has led to cautious interest among hotel managers, restrained by concerns around legality, privacy and service quality.","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2024 JAN 5,,,10.1080/13683500.2023.2300030,18
"Zhang, P; Boulos, MNK","Generative AI in Medicine and Healthcare: Promises, Opportunities and Challenges",generative AI; large language models; ChatGPT; artificial intelligence; medicine; healthcare; human health,"Generative AI (artificial intelligence) refers to algorithms and models, such as OpenAI's ChatGPT, that can be prompted to generate various types of content. In this narrative review, we present a selection of representative examples of generative AI applications in medicine and healthcare. We then briefly discuss some associated issues, such as trust, veracity, clinical safety and reliability, privacy, copyrights, ownership, and opportunities, e.g., AI-driven conversational user interfaces for friendlier human-computer interaction. We conclude that generative AI will play an increasingly important role in medicine and healthcare as it further evolves and gets better tailored to the unique settings and requirements of the medical domain and as the laws, policies and regulatory frameworks surrounding its use start taking shape.",MDPI,SEP,15,9,10.3390/fi15090286,15
"Yoo, D; Kim, DYJ; Lopes, E",Digital Art Therapy with Gen AI: Mind Palette,Generative AI; Art therapy; Affective Computing; E-Mental Health Applications,"Proper and delightful intervention can reduce the progression of mental disorders, but numerous physical and psychological barriers continue to exist. In response, we developed a mobile application called Mind Palette, which incorporates art therapy methodologies and generative AI technology. This application aims to address the need for comprehensive interventions in the mental health crisis, particularly among younger age groups. With AI chatbot interactions and AI-generated artwork recommendations, the application may facilitate discussions about emotions, encourage self-expression through art creation, and provide cognitive-behavioral therapeutic advice in both verbal and visual ways. The project highlights the human-centered approach and investigates the potential of generative AI as an effective agent for conducting art therapy.",IEEE,,,,10.1109/ACIIW59127.2023.10388174,3
"Thurzo, A; Strunga, M; Urban, R; Surovková, J; Afrashtehfar, KI",Impact of Artificial Intelligence on Dental Education: A Review and Guide for Curriculum Update,AI; generative AI; AI academic implementation; dentistry; AI plagiarism; ChatGPT; Midjourney; health professions; AI detectors; education curriculum,"In this intellectual work, the clinical and educational aspects of dentistry were confronted with practical applications of artificial intelligence (AI). The aim was to provide an up-to-date overview of the upcoming changes and a brief analysis of the influential advancements in the use of AI in dental education since 2020. In addition, this review provides a guide for a dental curriculum update for undergraduate and postgraduate education in the context of advances in AI applications and their impact on dentistry. Unsurprisingly, most dental educators have limited knowledge and skills to assess AI applications, as they were not trained to do so. Also, AI technology has evolved exponentially in recent years. Factual reliability and opportunities with OpenAI Inc.'s ChatGPT are considered critical inflection points in the era of generative AI. Updating curricula at dental institutions is inevitable as advanced deep-learning approaches take over the clinical areas of dentistry and reshape diagnostics, treatment planning, management, and telemedicine screening. With recent advances in AI language models, communication with patients will change, and the foundations of dental education, including essay, thesis, or scientific paper writing, will need to adapt. However, there is a growing concern about its ethical and legal implications, and further consensus is needed for the safe and responsible implementation of AI in dental education.",MDPI,FEB,13,2,10.3390/educsci13020150,14
"Miao, L; Yang, FX",Text-to-image AI tools and tourism experiences,Arti ficial intelligence; Generative AI; Tourism experience; Text-to-image,,PERGAMON-ELSEVIER SCIENCE LTD,SEP,102,,10.1016/j.annals.2023.103642,4
"Sharples, M",Automated Essay Writing: An AIED Opinion,Transformer AI; Plagiarism; Assessment; Text generation; Generative AI,"This opinion piece emerged from research for the book, Story Machines: How Computers Have Become Creative Writers, by Mike Sharples and Rafael Perez y Perez, published by Routledge. While thinking of ways to promote the book, I realised that students could employ AI story generators to write essays. That led me to research automated essay writing, write a Twitter thread that has garnered 43,000 engagements, and author a blog article (Sharples, 2022). The current piece is a revised and expanded version of that article.",SPRINGER,DEC,32,4,10.1007/s40593-022-00300-7,8
"Qian, YH; Wang, JP; Cai, YX","Revolutionizing educational landscapes: A systematic review of Metaverse applications, paradigms and emerging technologies",metaverse; education; Meta-AI; ChatGpt; generative AI; augmented reality; virtual reality,"This paper addresses the existing gap in the literature on Metaverse applications in education by providing a comprehensive analysis of associated paradigms, platforms, hardware, and software, which have not been systematically reviewed yet. Notably, this study is among the first, to the best of our knowledge, to introduce the pioneering concept of Meta-AI in education and propose its potential to revolutionize the educational landscape by synergistically combining generative AI technologies, such as ChatGPT, with Metaverse education. Through this in-depth examination, our research makes a significant contribution to the field, establishing a solid foundation for the development of effective Metaverse teaching applications and guiding future scholarly endeavours.",TAYLOR & FRANCIS AS,DEC 11,10,2,10.1080/2331186X.2023.2264006,18
"Louie, R; Coenen, A; Huang, CZ; Terry, M; Cai, CJ",Novice-AI Music Co-Creation via AI-Steering Tools for Deep Generative Models,Human-AI Interaction; Generative Deep Neural Networks; Co-Creation,"While generative deep neural networks (DNNs) have demonstrated their capacity for creating novel musical compositions, less attention has been paid to the challenges and potential of co-creating with these musical AIs, especially for novices. In a needfinding study with a widely used, interactive musical AI, we found that the AI can overwhelm users with the amount of musical content it generates, and frustrate them with its non-deterministic output. To better match co-creation needs, we developed AI-steering tools, consisting of Voice Lanes that restrict content generation to particular voices; Example-Based Sliders to control the similarity of generated content to an existing example; Semantic Sliders to nudge music generation in high-level directions (happy/sad, conventional/surprising); and Multiple Alternatives of generated content to audition and choose from. In a summative study (N=21), we discovered the tools not only increased users' trust, control, comprehension, and sense of collaboration with the AI, but also contributed to a greater sense of self-efficacy and ownership of the composition relative to the AI.",ASSOC COMPUTING MACHINERY,,,,10.1145/3313831.3376739,13
"Rajbhoj, A; Somase, A; Kulkarni, P; Kulkarni, V",Accelerating Software Development Using Generative AI: ChatGPT Case Study,AI in SDLC; Large Language Models; Generative AI; ChatGPT; SDLC automation; Automated Software Development,"The Software Development Life Cycle (SDLC) comprises multiple phases, each requiring Subject Matter Experts (SMEs) with phase-specific skills. The efficacy and quality of deliverables of each phase are skill dependent. In recent times, Generative AI techniques, including Large-scale Language Models (LLMs) like GPT, have become significant players in software engineering. These models, trained on extensive text data, can offer valuable contributions to software development. Interacting with LLMs involves feeding prompts with the context information and guiding the generation of textual responses. The quality of the response is dependent on the quality of the prompt given. This paper proposes a systematic prompting approach based on meta-model concepts for SDLC phases. The approach is validated using ChatGPT for small but complex business application development. We share the approach and our experience, learnings, benefits obtained, and the challenges encountered while applying the approach using ChatGPT. Our experience indicates that Generative AI techniques, such as ChatGPT, have the potential to reduce the skills barrier and accelerate software development substantially.",ASSOC COMPUTING MACHINERY,,,,10.1145/3641399.3641403,11
"Bozkurt, A","Unleashing the Potential of Generative AI, Conversational Agents and Chatbots in Educational Praxis: A Systematic Review and Bibliometric Analysis of GenAI in Education",Generative AI; GenAI; artificial intelligence; AI; chatbots; conversational agents; education; teaching; learning; higher education; educational technology; GPT; generative pre-trained transformer; ChatGPT; large language models; LLMs; natural language processing; systematic review; bibliometric analysis,"In the rapidly evolving landscape of education, the pivotal axis around which transformation revolves is human-AI interaction. In this sense, this paper adopts a data mining and analytic approach to understand what the related literature tells us regarding the trends and patterns of generative AI research in educational praxis. Accordingly, this systematic exploration spotlights the following research themes: Interaction and communication with generative AI-powered chatbots; impact of the LLMs and generative AI on teaching and learning, conversational educational agents and their opportunities, challenges, and implications; leveraging Generative AI for enhancing social and cognitive learning processes; promoting AI literacy for unleashing future opportunities; harnessing Generative AI to expand academic capabilities, and lastly, augmenting educational experiences through human-AI interaction. Beyond the identified research themes and patterns, this paper argues that emotional intelligence, AI literacy, and prompt engineering are the trending research topics that require further exploration. Accordingly, it's in this praxis that emotional intelligence emerges as a pivotal attribute, as AI technologies often struggle to comprehend and respond to the nuanced emotional cues. Generative AI literacy then takes center stage, becoming an indispensable asset in an era permeated with AI technologies, equipping students with the tools to critically engage with AI systems, thereby ensuring they become active, discerning users of these powerful tools. Concurrently, prompt engineering, the art of crafting queries that yield precise and valuable responses from AI systems, empowers both educators and students to maximize the utility of AI-driven educational resources.",INT COUNCIL OPEN & DISTANCE EDUCATION,,15,4,10.55982/openpraxis.15.4.609,10
"Dwivedi, YK; Pandey, N; Currie, W; Micu, A","Leveraging ChatGPT and other generative artificial intelligence (AI)-based applications in the hospitality and tourism industry: practices, challenges and research agenda",Artificial intelligence; Bard; ChatGPT; Generative AI; Hospitality; Tourism,"Purpose - The hospitality and tourism sector has witnessed phenomenal growth in customer numbers during the postpandemic times. This growth has been accompanied by the use of technologies in customer interface and backend activities, including the adoption of self-serving technologies. This study aims to analyze the existing practices and challenges and establish a research agenda for the implementation of generative artificial intelligence (AI) (such as ChatGPT) and similar tools in the hospitality and tourism industry. Design/methodology/approach - This study analyzes the existing literature and practices. This study draws upon these practices to outline a novel research agenda for scholars and practitioners working in this domain.Findings - The integration of generative AI technologies, such as ChatGPT, will have a transformational impact on the hospitality and tourism industry. This study highlights the potential challenges of implementing such technologies from the perspectives of companies, customers and regulators.Research limitations/implications - This study serves as a reference material for those who are planning to use generative AI tools like ChatGPT in their hospitality and tourism businesses. This study also highlights potential pitfalls that ChatGPT-enabled systems may encounter during service delivery processes.Originality/value - This study is a pioneering work that assesses the applications of ChatGPT in the hospitality and tourism industry. This study highlights the potential and challenges in implementing ChatGPT within the hospitality and tourism industry.",EMERALD GROUP PUBLISHING LTD,JAN 2,36,1,10.1108/IJCHM-05-2023-0686,12
"Missaoui, S; Gerasimou, S; Matragkas, N",Semantic Data Augmentation for Deep Learning Testing using Generative AI,Generative AI; Deep Learning Testing; Coverage Guided Fuzzing; Data Augmentation; Safe AI,"The performance of state-of-the-art Deep Learning models heavily depends on the availability of well-curated training and testing datasets that sufficiently capture the operational domain. Data augmentation is an effective technique in alleviating data scarcity, reducing the time-consuming and expensive data collection and labelling processes. Despite their potential, existing data augmentation techniques primarily focus on simple geometric and colour space transformations, like noise, flipping and resizing, producing datasets with limited diversity. When the augmented dataset is used for testing the Deep Learning models, the derived results are typically uninformative about the robustness of the models. We address this gap by introducing GENFUZZER, a novel coverage-guided data augmentation fuzzing technique for Deep Learning models underpinned by generative AI. We demonstrate our approach using widely-adopted datasets and models employed for image classification, illustrating its effectiveness in generating informative datasets leading up to a 26% increase in widely-used coverage criteria.",IEEE COMPUTER SOC,,,,10.1109/ASE56229.2023.00194,5
"Chan, CKY; Lee, KKW",The AI generation gap: Are Gen Z students more interested in adopting generative AI such as ChatGPT in teaching and learning than their Gen X and millennial generation teachers?,ChatGPT; Generative AI; AI literacy; Risks; Advantages; Holistic competencies; Challenges; Benefits,"This study aimed to explore the experiences, perceptions, knowledge, concerns, and intentions of Generation Z (Gen Z) students with Generation X (Gen X) and Generation Y (Gen Y) teachers regarding the use of generative AI (GenAI) in higher education. A sample of students and teachers were recruited to investigate the above using a survey consisting of both open and closed questions. The findings showed that Gen Z participants were generally optimistic about the potential benefits of GenAI, including enhanced productivity, efficiency, and personalized learning, and expressed intentions to use GenAI for various educational purposes. Gen X and Gen Y teachers acknowledged the potential benefits of GenAI but expressed heightened concerns about overreliance, ethical and pedagogical implications, emphasizing the need for proper guidelines and policies to ensure responsible use of the technology. The study highlighted the importance of combining technology with traditional teaching methods to provide a more effective learning experience. Implications of the findings include the need to develop evidence-based guidelines and policies for GenAI integration, foster critical thinking and digital literacy skills among students, and promote responsible use of GenAI technologies in higher education.",SPRINGER HEIDELBERG,NOV 15,10,1,10.1186/s40561-023-00269-3,23
"Newstead, T; Eager, B; Wilson, S",How AI can perpetuate - Or help mitigate - Gender bias in leadership,Artificial intelligence; Generative AI; Leadership; Gender bias; Women 's leadership,"Generative AI tools have been adopted faster than any other technology in history. AI tools including both chatbots (e.g. ChatGPT, Bard) and long-form AI writers (e.g. Wordplay.ai, Jasper.ai) pose substantial efficiency gains for text-reliant industries, such as leadership development. However, our research shows that AI generated content can contain and perpetuate harmful leadership-related gender biases. In this article, we share evidence of how AI generated content can perpetuate gender biases in leadership development. We also offer practical strategies managers can implement to capitalize on the potential of AI in pursuit of greater gender equity in leadership. (c) 2023 The Author(s). Published by Elsevier Inc.",ELSEVIER SCIENCE INC,OCT-NOV,52,4,10.1016/j.orgdyn.2023.100998,10
"Powell, SK",AI and Case Management: From Artificial Intelligence to Generative Intelligence,artificial intelligence (AI); augmented artificial intelligence; generative artificial intelligence; predictive analytics,Conversations about artificial intelligence (AI) are impossible to escape since the inception of ChatGPT in November 2022-whether it is about the end of our jobs or the end of the world! This Editorial talks about AI and its subsets and how this may relate to health care.,LIPPINCOTT WILLIAMS & WILKINS,NOV-DEC,28,6,10.1097/NCM.0000000000000681,3
"Takefuji, Y",Generative AI for diabetologists: a concise tutorial on dataset analysis,Generative AI; Diabetologists and endocrinologists; Dataset analysis; Machine learning,"ObjectivesThis paper aims to provide a tutorial for diabetologists and endocrinologists on using generative AI to analyze datasets. It is designed to be accessible to those new to generative AI or without programming experience.MethodsThe paper presents three examples using a real diabetes dataset. The examples demonstrate binary classification with the 'Group' variable, cross-validation analysis, and NT-proBNP regression.ResultsThe binary classification achieved a prediction accuracy of nearly 0.9. However, the NT-proBNP regression was not successful with this dataset. The calculated R-squared values indicate a poor fit between the predicted model and the raw data.ConclusionsThe unsuccessful NT-proBNP regression may be due to insufficient training data or the need for additional determinants. The dataset may be too small or new metrics may be required to accurately predict NT-proBNP regression values. It is crucial for users to verify the generated codes to ensure that they can achieve their desired objectives.",SPRINGER INT PUBL AG,2024 MAR 8,,,10.1007/s40200-023-01377-0,5
"Jiang, FF; Ma, J; Webster, CJ; Chiaradia, AJF; Zhou, YL; Zhao, Z; Zhang, XH","Generative urban design: A systematic review on problem formulation, design generation, and decision-making",Generative urban design; Urban form generation; Generative method; AI -generated content (AIGC); Generative AI; Human -machine collaboration,"Urban design is the process of designing and shaping the physical forms of cities, towns, and suburbs. It involves the arrangement and design of street systems, groups of buildings, public spaces, and landscapes, to make the urban environment performative and sustainable. The typical design process, reliant on manual work and expert experience has unavoidable low efficiency in generating high-performing design solutions due to the involvement of complex social, institutional, and economic contexts and the trade-off between conflicting preferences of different stakeholder groups. Taking advantage of artificial intelligence (AI) and computational capacity, generative urban design (GUD) has been developed as a trending technical direction to narrow the gaps and produce design solutions with high efficiency at early design stages. It uses computer-aided generative methods, such as evolutionary optimization and deep generative models, to efficiently explore complex solution spaces and automatically generate design options that satisfy conflicting objectives and various constraints. GUD experiments have attracted much attention from academia, practitioners, and public authorities in recent years. However, a systematic review of the current stage of GUD research is lacking. This study, therefore, reports on a systematic investigation of the existing literature according to the three key stages in the GUD process: (1) design problem formulation, (2) design option generation, and (3) decision-making. For each stage, current trends, findings, and limitations from GUD studies are examined. Future directions and potential challenges are discussed and presented. The review is highly interdisciplinary and involves articles from urban study, computer science, social science, management, and other fields. It reports what scholars have found in GUD experiments and organizes a diverse and complicated technical agenda into something accessible to all stakeholders. The results and discoveries will serve as a holistic reference for GUD developers and users in both academia and industry and form a baseline for the field of GUD development in the coming years.",PERGAMON-ELSEVIER SCIENCE LTD,FEB,180,,10.1016/j.progress.2023.100795,37
"Sison, AJG; Daza, MT; Gozalo-Brizuela, R; Garrido-Merchán, EC",ChatGPT: More Than a Weapon of Mass Deception Ethical Challenges and Responses from the Human-Centered Artificial Intelligence (HCAI) Perspective,ChatGPT; generative AI; HCAI; combating disinformation; AI ethics,"This article explores the ethical problems arising from the use of ChatGPT as a kind of generative AI and suggests responses based on the Human-Centered Artificial Intelligence (HCAI) framework. The HCAI framework is appropriate because it understands technology above all as a tool to empower, augment, and enhance human agency while referring to human wellbeing as a grand challenge, thus perfectly aligning itself with ethics, the science of human flourishing. Further, HCAI provides objectives, principles, procedures, and structures for reliable, safe, and trustworthy AI which we apply to our ChatGPT assessments. The main danger ChatGPT presents is the propensity to be used as a weapon of mass deception (WMD) and an enabler of criminal activities involving deceit. We review technical specifications to better comprehend its potentials and limitations. We then suggest both technical (watermarking, styleme, detectors, and fact-checkers) and non-technical measures (terms of use, transparency, educator considerations, HITL) to mitigate ChatGPT misuse or abuse and recommend best uses (creative writing, non-creative writing, teaching and learning). We conclude with considerations regarding the role of hu mans in ensuring the proper use of ChatGPT for individual and social wellbeing.",TAYLOR & FRANCIS INC,2023 JUN 27,,,10.1080/10447318.2023.2225931,20
"Obrenovic, B; Gu, X; Wang, GY; Godinic, D; Jakhongirov, I","Generative AI and human-robot interaction: implications and future agenda for business, society and ethics",Generative AI; HRI; Human-robot interaction; Anthropomorphism; Humanoid robot; Robot; ChatGPT; Scientometric analyses,"The revolution of artificial intelligence (AI), particularly generative AI, and its implications for human-robot interaction (HRI) opened up the debate on crucial regulatory, business, societal, and ethical considerations. This paper explores essential issues from the anthropomorphic perspective, examining the complex interplay between humans and AI models in societal and corporate contexts. We provided a comprehensive review of existing literature on HRI, with a special emphasis on the impact of generative models such as ChatGPT. The scientometric study posits that due to their advanced linguistic capabilities and ability to mimic human-like behavior, generative AIs like ChatGPT will continue to grow in popularity in pair with human rational empathy, tendency for personification and their advanced linguistic capabilities and ability to mimic human-like behavior. As they blur the boundaries between humans and robots, these models introduce fresh moral and philosophical dilemmas. Our research aims to extrapolate key trends and unique factors in HRI and to elucidate the technical aspects of generative AI that enhance its effectiveness in this field compared to traditional rule-based AI systems. We further discuss the challenges and limitations of applying generative AI in HRI, providing a future research agenda for AI optimization in diverse applications, including education, entertainment, and healthcare.",SPRINGER,2024 MAR 15,,,10.1007/s00146-024-01889-0,14
"Waisberg, E; Ong, J; Masalkhi, M; Lee, AG",OpenAI's Sora in medicine: revolutionary advances in generative artificial intelligence for healthcare,Artificial video generation; Generative AI; Large language models; LLM; NLP,,SPRINGER LONDON LTD,2024 APR 4,,,10.1007/s11845-024-03680-y,3
"Kim, JH; Kim, J; Kim, C; Kim, S",Do you trust ChatGPTs? Effects of the ethical and quality issues of generative AI on travel decisions,ChatGPT; artificial intelligence (AI); technology; quality; ethical; trustworthiness; generative AI; moral decoupling; AI acceptance; travel decisions,"This study investigated the impact of ChatGPT's recommendation quality and ethical concerns on travelers' acceptance, satisfaction, and perceived trustworthiness. Results showed that when quality and ethical concerns were prominent, acceptance of and satisfaction with ChatGPT's recommendations decreased significantly, and the negative effects were mediated by perceived trustworthiness. This study also identified that message framing containing ChatGPT's errors, and the information types delivered by ChatGPT, acted as moderators of the positive effect of its recommendations. These findings underscore the significance of addressing ethical and quality concerns in using AI (Artificial intelligence)-powered chatbots, with implications for AI acceptance and satisfaction.","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",NOV 22,40,9,10.1080/10548408.2023.2293006,23
